brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,horsepower,engine_capacity,cylinders
Dodge,Challenger R/T,2020,54000,Gasoline,8-Speed A/T,Gray,Black,0,1,34000,372.0,5.7,8.0
Porsche,Cayenne Base,2016,110000,Gasoline,A/T,White,White,1,1,25900,300.0,3.6,6.0
Chevrolet,Bolt EV LT,2020,49688,Electric,A/T,Blue,Gray,0,1,24900,200.0,0.0,0.0
Mercedes-Benz,Metris Base,2020,14000,Gasoline,7-Speed A/T,Black,Beige,0,1,48000,208.0,2.0,4.0
Dodge,Charger SRT Hellcat Widebody,2023,5000,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,0,1,110000,717.0,6.2,8.0
Chevrolet,Silverado 1500 ZR2,2022,11597,Gasoline,Automatic,Silver Ice Metallic,Jet Black,0,0,68590,355.0,6.2,8.0
Mercedes-Benz,AMG S 63 Base 4MATIC,2017,86101,Gasoline,A/T,Gray,Red,1,1,72777,577.0,5.5,8.0
Chevrolet,Silverado 1500 LT,2017,58816,Gasoline,6-Speed Electronically Controlled Automatic with O,Black,Jet Black,0,0,36590,355.0,5.3,8.0
Lexus,RC 350 Base,2016,77856,Gasoline,6-Speed Automatic,Atomic Silver,Black,0,1,30919,301.0,3.5,6.0
Lamborghini,Urus Base,2021,20069,Gasoline,8-Speed Automatic,Rosso Mars Metallic,Nero Ade,0,0,229900,571.0,4.0,8.0
GMC,Acadia SLE-1,2015,115282,Gasoline,6-Speed Automatic,Crimson Red Tintcoat,Ebony,1,1,12433,355.0,3.6,6.0
Porsche,911 GT3,2016,30700,Gasoline,7-Speed A/T,White,Black,0,1,138999,475.0,3.8,6.0
MINI,Cooper Base,2003,103726,Gasoline,5-Speed M/T,Red,Gray,1,1,5995,115.0,1.6,4.0
Mazda,MX-5 Miata Sport,2008,39800,Gasoline,Transmission w/Dual Shift Mode,Blue,Black,0,1,13250,158.0,2.0,4.0
Toyota,4Runner TRD Off Road,2019,79500,Gasoline,A/T,White,Black,0,1,33333,270.0,4.0,6.0
Toyota,Highlander Limited,2008,165520,Gasoline,A/T,Gray,Gray,1,1,9000,270.0,3.5,6.0
BMW,650 Gran Coupe i,2014,92000,Gasoline,Transmission w/Dual Shift Mode,Black,Black,1,1,24000,445.0,4.4,8.0
Hyundai,Palisade Calligraphy,2023,1500,Gasoline,Transmission w/Dual Shift Mode,Green,Black,0,1,55000,291.0,3.8,6.0
Pontiac,Solstice GXP,2008,38100,Gasoline,5-Speed M/T,Orange,Black,0,1,19950,260.0,2.0,4.0
Land,Rover Range Rover Evoque SE Premium,2018,42125,Gasoline,Transmission w/Dual Shift Mode,White,Black,0,1,38999,237.0,2.0,4.0
Porsche,Cayenne Diesel,2014,86818,Diesel,Transmission w/Dual Shift Mode,Silver,Black,0,1,33500,240.0,3.0,6.0
BMW,M3 Competition xDrive,2023,3490,Gasoline,8-Speed A/T,Gray,Black,0,1,95580,503.0,3.0,6.0
Toyota,Avalon Limited,2008,111300,Gasoline,Transmission w/Dual Shift Mode,Gold,Beige,0,1,7900,268.0,3.5,6.0
BMW,M3 Base,2011,98200,Gasoline,7-Speed A/T,White,Black,0,1,27000,414.0,4.0,8.0
Porsche,Panamera Base,2018,42500,Gasoline,8-Speed A/T,Black,Beige,1,1,53999,330.0,3.0,6.0
Jeep,Wrangler Sport,2001,171000,Gasoline,5-Speed M/T,White,Black,1,1,15000,181.0,4.0,6.0
Honda,Passport TrailSport,2023,11649,Gasoline,9-Speed A/T,Black,Black,0,0,39999,280.0,3.5,6.0
Mercedes-Benz,SL-Class SL 550,2013,24933,Gasoline,Transmission w/Dual Shift Mode,Silver,Red,1,1,40250,429.0,4.6,8.0
Audi,RS 4 Base,2007,99769,Gasoline,6-Speed M/T,Gray,White,0,1,29995,420.0,4.2,8.0
Toyota,Avalon Limited,2022,16156,Gasoline,8-Speed Automatic,Blueprint,Graphite,0,0,39390,268.0,3.5,6.0
Mercedes-Benz,E-Class E 350 4MATIC,2008,67250,Gasoline,A/T,White,Beige,0,1,11900,268.0,3.5,6.0
GMC,Yukon Denali,2021,30022,Gasoline,A/T,Blue,Black,1,1,74500,420.0,6.2,8.0
Porsche,Panamera 4S,2017,42596,Gasoline,Transmission w/Dual Shift Mode,Black,Black,0,1,78000,440.0,2.9,6.0
Ford,Explorer XLT,2021,33705,Gasoline,10-Speed Automatic,White,Light Slate,1,1,36995,325.0,2.3,4.0
Land,Rover LR4 HSE LUX Landmark Edition,2016,63300,Gasoline,8-Speed A/T,White,Brown,0,1,31000,340.0,3.0,6.0
Acura,TLX Type S w/Performance Tire,2023,4700,Gasoline,10-Speed A/T,Red,Black,0,1,52000,355.0,3.0,6.0
Toyota,Tacoma Base,2020,27256,Gasoline,6 Speed At/Mt,Midnight Black Metallic,Black/Gun Metal,0,0,42998,268.0,3.5,6.0
Hummer,H3 Base,2010,107481,Gasoline,A/T,White,Black,0,1,13500,239.0,3.7,5.0
Tesla,Model 3 Long Range,2018,61700,Electric,A/T,White,Black,0,1,25900,271.0,0.0,0.0
Jeep,Wrangler Unlimited Sahara,2017,128000,Gasoline,5-Speed A/T,Gray,Black,0,1,26800,285.0,3.6,6.0
Chevrolet,Camaro 2SS,2018,26000,Gasoline,8-Speed A/T,White,Black,0,1,39000,455.0,6.2,8.0
Audi,S6 4.0T,2015,74000,Gasoline,7-Speed A/T,Blue,Gray,0,1,29950,420.0,4.0,8.0
Audi,TT RS Base,2012,54900,Gasoline,6-Speed M/T,White,Brown,0,0,28900,360.0,2.5,5.0
INFINITI,QX56 Base,2012,141775,Gasoline,Transmission w/Dual Shift Mode,White,Beige,0,1,11500,400.0,5.6,8.0
Volkswagen,New Beetle GLS,2001,63250,Gasoline,4-Speed A/T,Yellow,Yellow,0,1,12000,115.0,2.0,4.0
Audi,Q5 S line Premium Plus,2022,13895,Hybrid,Automatic,Daytona Gray,Black,0,0,44998,333.0,2.0,6.0
Lamborghini,Aventador LP750-4 Superveloce,2017,10654,Gasoline,Automatic,Balloon White,Nero Ade,0,0,449991,571.0,6.5,12.0
Ford,F-250 XL,2014,35900,E85 Flex Fuel,Transmission w/Dual Shift Mode,Blue,Gray,1,1,27900,385.0,6.2,8.0
GMC,Yukon XL Denali,2022,48306,Gasoline,10-Speed Automatic,Summit White,Jet Black,1,1,71999,355.0,6.2,8.0
Audi,A4 2.0T Premium,2012,125000,Gasoline,8-Speed A/T,Black,Black,0,1,10500,211.0,2.0,4.0
Tesla,Model S P100D,2017,103000,Electric,1-Speed A/T,Black,White,0,1,36000,455.0,0.0,0.0
Mazda,CX-30 Premium Package,2021,45303,Gasoline,6-Speed Automatic,Snowflake White Pearl,White / Brown,0,0,25382,184.0,2.5,4.0
Lexus,ES 350 Base,2016,53900,Gasoline,A/T,Red,Beige,0,1,27500,268.0,3.5,6.0
Jeep,Wrangler Sahara,2008,54000,Gasoline,A/T,Green,Gray,0,1,20000,202.0,3.8,6.0
Chevrolet,Avalanche 1500 LTZ,2007,129000,Gasoline,A/T,White,Beige,0,1,17950,366.0,6.0,8.0
Jeep,Grand Cherokee L Laredo,2022,10232,Gasoline,Automatic,Diamond Black,Global Black,0,1,44646,285.0,3.6,6.0
Acura,MDX w/Advance Package,2023,3708,Gasoline,Automatic,White,Espresso,0,0,58998,279.5,3.5,6.0
Nissan,Pathfinder SL,2018,167000,Gasoline,A/T,Black,Beige,0,0,14500,284.0,3.5,6.0
Tesla,Model X Long Range,2019,37000,Electric,1-Speed A/T,Gray,Black,0,1,58000,518.0,0.0,0.0
Subaru,Impreza Premium,2022,10419,Gasoline,Variable,Crystal White Pearl,Black,1,0,24998,227.0,2.0,4.0
Audi,A8 4.0T,2014,96238,Gasoline,Transmission w/Dual Shift Mode,Black,Black,1,1,22500,420.0,4.0,8.0
Subaru,Ascent Limited 7-Passenger,2022,12700,Gasoline,CVT Transmission,White,Beige,0,1,38500,260.0,2.4,4.0
Chevrolet,Avalanche 1500 LT,2007,244000,E85 Flex Fuel,A/T,Gray,Gray,0,1,16900,320.0,5.3,8.0
Porsche,Cayenne S,2015,124000,Gasoline,8-Speed A/T,White,Beige,0,1,25000,420.0,3.6,6.0
BMW,335 i,2009,123000,Gasoline,A/T,Purple,Black,0,1,15000,300.0,3.0,6.0
GMC,Sierra 1500 Limited Elevation,2022,24900,Gasoline,8-Speed A/T,Black,Black,0,1,49900,310.0,2.7,4.0
Ford,Explorer Sport,2016,95500,Gasoline,Transmission w/Dual Shift Mode,Black,Black,0,1,20000,365.0,3.5,6.0
Cadillac,Escalade ESV Sport,2021,4283,Gasoline,10-Speed Automatic,Black,Brandy,0,1,479995,400.0,6.2,8.0
Lexus,LX 570 Three-Row,2021,48300,Gasoline,A/T,White,Red,0,1,82000,383.0,5.7,8.0
BMW,M3 Base,2008,94000,Gasoline,6-Speed M/T,Gray,Red,0,1,25999,414.0,4.0,8.0
Nissan,Xterra Pro-4X,2011,183000,Gasoline,A/T,Black,Gray,1,1,12000,261.0,4.0,6.0
Ford,Fusion Hybrid SE Hybrid,2013,126225,Hybrid,CVT Transmission,Silver,Black,1,1,11500,188.0,2.0,4.0
Volkswagen,Golf GTI 2.0T SE 4-Door,2016,87892,Gasoline,6-Speed M/T,Gray,Black,0,1,16000,210.0,2.0,4.0
Cadillac,CTS-V Base,2012,45000,Gasoline,6-Speed A/T,Red,Black,0,1,41500,556.0,6.2,8.0
Aston,Martin Vantage Base,2022,1023,Gasoline,8-Speed A/T,Blue,Brown,0,1,156900,503.0,4.0,8.0
Lexus,GX 460 Base,2015,106000,Gasoline,A/T,Black,Beige,0,1,37500,301.0,4.6,8.0
GMC,Acadia SLT-1,2019,51300,Gasoline,6-Speed A/T,Black,Black,1,1,25500,193.0,2.5,4.0
Ford,Bronco Sport Big Bend,2021,30176,Gasoline,8-Speed Automatic,Black,Medium Dark Slate,0,1,28979,325.0,1.5,3.0
Nissan,Titan SV,2021,27598,Gasoline,9-Speed Automatic,Black,Black,0,0,39884,284.0,5.6,8.0
Volkswagen,Jetta SportWagen SE,2012,107000,Gasoline,A/T,Black,Beige,0,1,9499,170.0,2.5,5.0
Land,Rover Range Rover 5.0L V8 Supercharged,2019,17500,Gasoline,8-Speed A/T,Black,Black,0,1,65000,518.0,5.0,8.0
RAM,2500 Laramie,2017,117878,Diesel,Transmission w/Dual Shift Mode,Red,Black,0,1,42000,350.0,6.7,6.0
Nissan,Murano SL,2010,138700,Gasoline,CVT Transmission,Gray,Black,1,1,7000,265.0,3.5,6.0
Cadillac,Escalade ESV Base,2009,152068,E85 Flex Fuel,6-Speed A/T,White,Black,1,1,12350,403.0,6.2,8.0
BMW,428 i xDrive SULEV,2016,77000,Gasoline,Transmission w/Dual Shift Mode,White,Red,1,1,26999,240.0,2.0,4.0
Ford,Focus RS Base,2017,26000,Gasoline,6-Speed M/T,Gray,Black,0,1,37000,350.0,2.3,4.0
Lexus,CT 200h Premium,2014,131200,Hybrid,A/T,Brown,Brown,0,1,14000,134.0,1.8,4.0
Buick,Enclave Leather,2017,83280,Gasoline,6-Speed Automatic,Quicksilver Metallic,Ebony,0,0,20599,275.0,3.6,6.0
BMW,M3 Base,2015,59000,Gasoline,6-Speed M/T,Gray,Black,0,1,53500,425.0,3.0,6.0
Volkswagen,Arteon 2.0T SEL R-Line,2020,15500,Gasoline,8-Speed A/T,Silver,Black,0,1,30000,268.0,2.0,4.0
BMW,X6 xDrive35i,2013,90000,Gasoline,8-Speed A/T,White,Red,0,1,19950,300.0,3.0,6.0
INFINITI,G35 Base,2006,94000,Gasoline,Transmission w/Dual Shift Mode,White,Gray,1,1,10995,280.0,3.5,6.0
Hummer,H2 Base,2008,63750,Gasoline,6-Speed A/T,White,Black,1,1,55000,393.0,6.2,8.0
Mercedes-Benz,C-Class C 300 4MATIC Luxury,2011,95500,Gasoline,A/T,Black,Beige,1,1,15990,228.0,3.0,6.0
Acura,ILX Premium Package,2019,37900,Gasoline,A/T,White,Black,0,1,26000,201.0,2.4,4.0
Porsche,911 GT3,2015,13250,Gasoline,7-Speed A/T,Brown,Gray,0,1,154900,475.0,3.8,6.0
RAM,1500 Longhorn,2019,76249,Gasoline,8-Speed Automatic,Diamond Black,Mountain Brown,1,0,40995,395.0,5.7,8.0
BMW,M3 Base,2001,81000,Gasoline,6-Speed M/T,Blue,Gray,0,1,39000,333.0,3.2,6.0
Chevrolet,Suburban LT,2022,37806,Gasoline,10-Speed A/T,Black,Black,0,1,60894,355.0,5.3,8.0
Dodge,Ram 2500 ST,2010,151544,Gasoline,5-Speed A/T,Brown,Gray,1,1,17700,355.0,5.7,8.0
Chevrolet,Camaro 2SS,2012,60345,Gasoline,6-Speed A/T,Yellow,Black,0,1,26950,400.0,6.2,8.0
Dodge,Challenger SE,2010,90305,Gasoline,A/T,Gray,Black,0,1,12000,250.0,3.5,6.0
Jeep,Grand Cherokee L Limited,2022,13275,Gasoline,8-Speed Automatic,Velvet Red Pearlcoat,Global Black,0,0,42599,285.0,3.6,6.0
Chevrolet,Camaro 2SS,2018,8660,Gasoline,8-Speed A/T,White,Black,0,1,45000,455.0,6.2,8.0
Ford,F-350 Lariat,2021,28220,Diesel,10-Speed A/T,Silver,Black,0,1,73600,475.0,6.7,8.0
Ford,F-250 King Ranch,2015,97700,Diesel,6-Speed A/T,Black,Unknown,0,1,39950,440.0,6.7,8.0
Chevrolet,Corvette Stingray w/3LT,2023,4200,Gasoline,A/T,White,Black,0,1,98000,490.0,6.2,8.0
Bentley,Continental GT V8 First Edition,2020,27404,Gasoline,Automatic,Dark Sapphire,Linen,0,0,199991,552.0,4.0,8.0
Lincoln,MKC Reserve,2016,100000,Gasoline,Transmission w/Dual Shift Mode,White,White,0,1,24000,240.0,2.0,4.0
Ford,Excursion Limited,2001,333361,Diesel,A/T,Black,Beige,1,1,17000,250.0,7.3,8.0
Land,Rover Discovery SE,2018,63295,Gasoline,8-Speed A/T,Blue,White,0,1,29993,340.0,3.0,6.0
Land,Rover Defender V8,2022,3000,Gasoline,8-Speed A/T,Black,Black,0,1,96500,518.0,5.0,8.0
Chevrolet,Silverado 1500 2LT,2014,102604,E85 Flex Fuel,6-Speed A/T,Gray,Gray,0,1,25500,355.0,5.3,8.0
Mercedes-Benz,AMG G 63 Base,2017,39800,Gasoline,7-Speed A/T,White,Red,0,1,99000,563.0,5.5,8.0
Ford,F-250 XLT,2019,124000,E85 Flex Fuel,6-Speed A/T,White,Gray,0,1,40100,385.0,6.2,8.0
Tesla,Model 3 Base,2022,12080,Electric,A/T,Black,Black,0,1,36750,271.0,0.0,0.0
Lexus,LX 570 Three-Row,2018,39300,Gasoline,Transmission w/Dual Shift Mode,Black,Black,0,1,69500,383.0,5.7,8.0
INFINITI,QX60 Luxe,2019,51000,Gasoline,CVT Transmission,Gray,Unknown,1,1,29000,295.0,3.5,6.0
Rivian,R1S Adventure Package,2023,250,Electric,1-Speed A/T,Green,Black,0,0,97500,835.0,0.0,0.0
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2017,67000,Gasoline,8-Speed A/T,Gray,Beige,0,1,35999,340.0,3.0,6.0
INFINITI,QX60 Base,2014,95400,Gasoline,A/T,White,Beige,0,0,14195,265.0,3.5,6.0
Hyundai,Sonata GLS,2013,136991,Gasoline,6-Speed A/T,Gray,Gray,0,1,11000,198.0,2.4,4.0
Toyota,Tundra Limited,2022,3959,Gasoline,10-Speed A/T,Blue,Gray,0,1,55000,389.0,3.4,6.0
Jeep,Grand Cherokee Limited,2020,47500,Gasoline,A/T,Purple,Black,0,1,31000,293.0,3.6,6.0
Ford,F-350 Lariat Crew Cab Super Duty DRW,2005,176691,Diesel,A/T,White,Beige,1,1,13000,325.0,6.0,8.0
Tesla,Model 3 Performance,2021,33000,Electric,1-Speed A/T,Red,White,0,1,55000,455.0,0.0,0.0
Mercedes-Benz,CLS-Class CLS 550,2014,34600,Gasoline,Transmission w/Dual Shift Mode,Black,Black,0,1,27500,402.0,4.7,8.0
RAM,2500 SLT,2014,84500,Gasoline,A/T,Black,Gray,0,1,34000,410.0,6.4,8.0
Kia,Sorento Hybrid EX,2022,36100,Hybrid,6-Speed A/T,Black,White,0,1,37500,227.0,1.6,4.0
Hyundai,Genesis 3.8,2015,92225,Gasoline,A/T,Black,Black,1,1,17000,311.0,3.8,6.0
Jeep,Compass Latitude,2020,17500,Gasoline,9-Speed A/T,Silver,Black,0,1,25695,180.0,2.4,4.0
Ford,Fusion SE,2011,114323,Gasoline,6-Speed A/T,Black,Black,0,1,6000,175.0,2.5,4.0
Toyota,FJ Cruiser Base,2014,92000,Gasoline,A/T,Beige,Black,0,1,27500,260.0,4.0,6.0
BMW,430 Gran Coupe i xDrive,2018,29025,Gasoline,Automatic,Carbon Black Metallic,Black,0,0,29998,335.0,2.0,6.0
Dodge,Durango SRT 392,2021,17000,Gasoline,Transmission w/Dual Shift Mode,Blue,Black,0,1,65000,475.0,6.4,8.0
Hyundai,Santa Fe GLS,2015,96476,Gasoline,6-Speed A/T,White,Gray,0,1,13000,290.0,3.3,6.0
Volkswagen,Atlas 3.6L SEL Premium,2021,36311,Gasoline,8-Speed Automatic,Deep Black Pearl Effect,Titan Black / Quarzit,0,1,39127,200.0,3.6,6.0
Land,Rover Range Rover Sport 5.0L Supercharged Dynamic,2016,56842,Gasoline,Transmission w/Dual Shift Mode,Silver,Black,0,1,35000,510.0,5.0,8.0
Nissan,Murano SV,2021,23677,Gasoline,Automatic CVT,Sunset Drift Chromaflair,Graphite,0,0,29510,284.0,3.5,6.0
Buick,Envision Essence,2020,27340,Gasoline,6-Speed Automatic,Summit White,Ebony,0,0,31700,275.0,2.5,4.0
Chevrolet,Silverado 1500 RST,2020,26177,Gasoline,Automatic,Shadow Gray Metallic,Jet Black,0,0,41986,355.0,5.3,8.0
Pontiac,Solstice GXP,2009,122348,Gasoline,A/T,Red,Black,1,1,10000,260.0,2.0,4.0
BMW,640 Gran Coupe i xDrive,2015,98000,Gasoline,Transmission w/Dual Shift Mode,Black,Beige,0,1,22500,315.0,3.0,6.0
Tesla,Model 3 Standard Range Plus,2019,32300,Electric,A/T,Black,Black,0,1,29000,455.0,0.0,0.0
MINI,Countryman Cooper S,2019,18997,Gasoline,Transmission w/Dual Shift Mode,Red,Black,0,1,26750,189.0,2.0,4.0
Porsche,Boxster GTS,2016,40350,Gasoline,7-Speed A/T,Gray,Black,0,1,67995,330.0,3.4,6.0
Ford,Expedition EL King Ranch,2011,156856,E85 Flex Fuel,6-Speed A/T,Black,Brown,0,1,14300,310.0,5.4,8.0
Bentley,Continental GT GT Speed,2022,1919,Gasoline,8-SPEED A/T,Granite,Porpoise,0,0,289991,552.0,6.0,12.0
BMW,X5 M Base,2017,61773,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,0,1,46000,567.0,4.4,8.0
Ford,Mustang GT Premium,2011,74500,Gasoline,6-Speed M/T,Black,Black,0,1,22000,412.0,5.0,8.0
Jeep,Compass Sport,2016,99000,Gasoline,6-Speed A/T,White,Gray,1,1,5000,172.0,2.4,4.0
INFINITI,G37 Sport,2008,63496,Gasoline,6-Speed M/T,Black,Black,0,1,15000,330.0,3.7,6.0
Ford,F-150 XLT,2022,18465,Gasoline,10-Speed A/T,Black,Gray,0,1,47500,400.0,3.5,6.0
Porsche,911 Carrera 4S,2007,42635,Gasoline,Transmission w/Dual Shift Mode,Blue,Blue,0,1,72995,355.0,3.8,6.0
INFINITI,G35 Base,2005,99000,Gasoline,6-Speed M/T,Silver,Black,0,1,18900,298.0,3.5,6.0
Chrysler,300C Base,2013,87500,Gasoline,8-Speed A/T,White,Beige,0,1,13750,292.0,3.6,6.0
Toyota,Camry Solara SLE,2007,138000,Gasoline,5-Speed A/T,White,Beige,0,1,6800,210.0,3.3,6.0
Lexus,IS 300 Base,2018,70891,Gasoline,Transmission w/Dual Shift Mode,White,Black,0,1,28995,260.0,3.5,6.0
Buick,Enclave Essence,2020,55403,Gasoline,9-Speed A/T,Red,Gray,1,1,29444,310.0,3.6,6.0
BMW,M4 Competition xDrive,2022,3213,Gasoline,8-Speed A/T,Black,Red,0,1,89995,503.0,3.0,6.0
Pontiac,GTO Base,2005,142314,Gasoline,6-Speed M/T,Red,Red,1,1,21999,400.0,6.0,8.0
Toyota,FJ Cruiser Base,2013,53000,Gasoline,A/T,Blue,Black,0,1,36740,260.0,4.0,6.0
Hyundai,Elantra SE,2014,120250,Gasoline,A/T,Blue,Gray,0,1,7500,145.0,1.8,4.0
Porsche,Macan S,2015,72329,Gasoline,7-Speed A/T,Silver,Black,0,1,29500,340.0,3.0,6.0
Hummer,H3 Base,2007,153692,Gasoline,4-Speed A/T,Beige,Black,0,1,9995,242.0,3.7,5.0
Tesla,Model 3 Long Range,2021,32670,Electric,A/T,White,Black,0,1,37000,455.0,0.0,0.0
Ford,Transit-350 Base,2018,235000,Gasoline,A/T,White,Gray,0,0,18000,275.0,3.7,6.0
Rivian,R1T Launch Edition,2022,8681,Electric,A/T,Gray,Black,0,1,82000,835.0,0.0,0.0
Audi,S4 3.0 Prestige,2012,98400,Gasoline,7-Speed A/T,White,White,0,1,18000,333.0,3.0,6.0
Toyota,4Runner SR5 Premium,2023,1400,Gasoline,A/T,White,Black,0,1,46500,270.0,4.0,6.0
Tesla,Model 3 Mid Range,2018,32000,Electric,A/T,Black,Black,0,1,29999,271.0,0.0,0.0
Ford,F-250 Base,1997,92800,Gasoline,4-Speed A/T,White,Gray,0,1,9000,210.0,5.8,8.0
Mercedes-Benz,G-Class G 550 4MATIC,2021,75151,Gasoline,A/T,Black,Black,0,1,130000,416.0,4.0,8.0
Subaru,Legacy 2.5 GT spec.B,2008,94000,Gasoline,6-Speed M/T,Gray,Blue,0,1,12500,243.0,2.5,4.0
Mercedes-Benz,E-Class E 350,2014,67350,Gasoline,7-Speed A/T,Silver,Unknown,1,1,18700,302.0,3.5,6.0
BMW,M3 Base,2001,66500,Gasoline,6-Speed M/T,Red,Black,0,1,21000,333.0,3.2,6.0
Mercedes-Benz,C-Class C 250 Sport,2014,70612,Gasoline,7-Speed A/T,White,Beige,0,1,14500,201.0,1.8,4.0
Toyota,Sienna XLE Limited,2007,112630,Gasoline,5-Speed A/T,Silver,Gray,1,1,11500,266.0,3.5,6.0
Dodge,Avenger SE,2014,124705,E85 Flex Fuel,A/T,Black,Black,0,1,6499,283.0,3.6,6.0
BMW,M240 i,2018,61000,Gasoline,6-Speed M/T,Blue,Black,1,1,34000,335.0,3.0,6.0
RAM,3500 SLT,2017,157272,Diesel,6-Speed A/T,White,Gray,1,1,32999,350.0,6.7,6.0
Mercedes-Benz,GL-Class GL 450 4MATIC,2015,84000,Gasoline,7-Speed A/T,Blue,Gray,0,1,20399,362.0,3.0,6.0
Jeep,Gladiator Rubicon,2020,27981,Gasoline,A/T,Red,Black,0,1,47500,285.0,3.6,6.0
Bentley,Continental GT Base,2009,18000,Gasoline,A/T,Blue,Beige,0,1,63000,552.0,6.0,12.0
Tesla,Model 3 Long Range,2019,27123,Electric,A/T,Red,Black,0,1,38200,425.0,0.0,0.0
Chevrolet,Corvette Stingray w/2LT,2021,3053,Gasoline,Transmission w/Dual Shift Mode,Silver,Gray,0,1,83900,490.0,6.2,8.0
Audi,Q5 3.0T Premium Plus,2015,60251,Gasoline,A/T,Black,Black,1,1,19000,272.0,3.0,6.0
Mazda,MX-5 Miata Club,2021,5093,Gasoline,6-Speed M/T,Gray,Black,0,1,28000,181.0,2.0,4.0
Bentley,Bentayga W12 Signature,2018,31875,Gasoline,8-Speed A/T,White,Black,0,1,115785,600.0,6.0,12.0
Mercedes-Benz,S-Class S500,2005,175722,Gasoline,A/T,White,Beige,0,1,7000,302.0,5.0,8.0
BMW,M6 Base,2015,17900,Gasoline,Transmission w/Dual Shift Mode,Black,Black,0,1,59900,560.0,4.4,8.0
GMC,Yukon SLT,2015,142792,Gasoline,6-Speed A/T,White,Brown,0,1,22999,355.0,5.3,8.0
BMW,750 iL,2001,53814,Gasoline,5-Speed A/T,Gray,Gray,0,0,11800,326.0,5.4,12.0
Toyota,Tundra Limited,2010,89400,Gasoline,A/T,White,Gray,0,1,26900,381.0,5.7,8.0
Chrysler,300C Base,2007,86000,Gasoline,5-Speed A/T,Gray,Black,0,1,15000,340.0,5.7,8.0
smart,ForTwo Pure,2008,61595,Gasoline,5-Speed A/T,Blue,Gray,0,1,5000,70.0,1.0,3.0
Toyota,Tundra SR,2018,74000,E85 Flex Fuel,6-Speed A/T,Beige,Black,1,1,38000,381.0,5.7,8.0
Hummer,H2 Base,2004,130000,Gasoline,4-Speed A/T,Black,Black,1,1,16500,316.0,6.0,8.0
BMW,ALPINA B7 Base,2015,86000,Gasoline,8-Speed A/T,Black,White,1,1,29000,540.0,4.4,8.0
Land,Rover Range Rover Sport Supercharged,2008,140600,Gasoline,6-Speed A/T,Red,Beige,0,1,7500,390.0,4.2,8.0
Audi,A4 2.0T Tech Premium,2018,27532,Gasoline,7-Speed A/T,Gray,Black,0,1,27900,252.0,2.0,4.0
Ford,Focus SE,2017,91000,E85 Flex Fuel,6-Speed A/T,Gray,Black,0,1,12500,160.0,2.0,4.0
Mercedes-Benz,E-Class E 550 4MATIC,2014,63000,Gasoline,7-Speed A/T,Silver,Black,0,1,28500,402.0,4.7,8.0
Jeep,Wrangler Unlimited 4xe Sahara,2022,10500,Plug-In Hybrid,8-Speed A/T,Green,Beige,0,1,49999,375.0,2.0,4.0
Mercedes-Benz,M-Class ML 350 4MATIC,2014,75073,E85 Flex Fuel,7-Speed A/T,Gray,Black,0,1,21500,302.0,3.5,6.0
Jeep,Wrangler Sahara,2008,140000,Gasoline,A/T,Silver,Unknown,1,1,9000,202.0,3.8,6.0
Mercedes-Benz,A-Class A 220 4MATIC,2019,30300,Gasoline,7-Speed A/T,Silver,Black,0,1,30500,188.0,2.0,4.0
Chevrolet,Malibu 1LT,2009,139000,Gasoline,A/T,White,Black,0,1,4200,169.0,2.4,4.0
Hummer,H3 Base,2006,118000,Gasoline,A/T,Gray,Black,0,1,17900,220.0,3.5,5.0
BMW,i8 Base,2015,51000,Plug-In Hybrid,Transmission w/Dual Shift Mode,Gray,Brown,0,1,53000,357.0,1.5,3.0
Cadillac,XLR Base,2009,69423,Gasoline,A/T,Red,Beige,0,1,36500,320.0,4.6,8.0
Lincoln,MKZ Select,2017,52284,Gasoline,6-Speed A/T,Blue,Beige,1,1,12500,240.0,2.0,4.0
Chevrolet,Silverado 1500 W/T,2006,111228,Gasoline,A/T,Blue,Gray,1,1,4000,195.0,4.3,6.0
Land,Rover Range Rover Sport HSE,2019,52300,Gasoline,Transmission w/Dual Shift Mode,Black,Black,0,1,49900,340.0,3.0,6.0
Nissan,Titan SL,2021,95993,Gasoline,9-Speed Automatic,White,Black,0,1,32612,284.0,5.6,8.0
Kia,Telluride SX,2022,26716,Gasoline,Automatic,Dark Moss,Black,0,0,47541,199.0,3.8,6.0
Chevrolet,Tahoe RST,2023,39517,Gasoline,10-Speed Automatic,Black,Jet Black,1,0,67190,355.0,5.3,8.0
Ford,Mustang GT Premium,2019,31600,Gasoline,6-Speed M/T,Blue,Gray,0,1,41000,460.0,5.0,8.0
BMW,330 i,2017,83298,Gasoline,A/T,Black,Black,0,1,18300,248.0,2.0,4.0
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2017,95212,Gasoline,8-Speed A/T,Brown,Beige,0,1,31599,340.0,3.0,6.0
Porsche,911 Carrera,2010,61600,Gasoline,7-Speed A/T,Black,Black,0,1,51750,345.0,3.6,6.0
INFINITI,QX56 Base,2011,130921,Gasoline,Transmission Overdrive Switch,White,Beige,0,1,12000,400.0,5.6,8.0
